,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
5315443,360810001001029,360610218001000,1,0,1,0,0,0,1,0,1,0,20170919,40.8036135,-73.9503798,"New York County, NY",40.7391337,-73.9440627,"Queens County, NY","LINESTRING(-73.9503798 40.8036135, -73.9440627 40.7391337)"
2914405,360595197021029,361031112023015,1,0,0,1,0,0,1,0,0,1,20170919,40.8385544,-73.4098725,"Suffolk County, NY",40.7798737,-73.461955,"Nassau County, NY","LINESTRING(-73.4098725 40.8385544, -73.461955 40.7798737)"
2683789,360594092005000,360594101003005,1,1,0,0,1,0,0,0,1,0,20170919,40.6731475,-73.6763867,"Nassau County, NY",40.7256221,-73.5174342,"Nassau County, NY","LINESTRING(-73.6763867 40.6731475, -73.5174342 40.7256221)"
1896062,360470690001000,360470516022001,2,0,2,0,0,2,0,0,0,2,20170919,40.6410553,-73.9573247,"Kings County, NY",40.6207176,-73.9178927,"Kings County, NY","LINESTRING(-73.9573247 40.6410553, -73.9178927 40.6207176)"
6474133,361031240022026,361031230023047,1,0,0,1,0,1,0,0,1,0,20170919,40.7147608,-73.3420465,"Suffolk County, NY",40.6893106,-73.3689473,"Suffolk County, NY","LINESTRING(-73.3420465 40.7147608, -73.3689473 40.6893106)"
3249263,360610033003014,360050408002002,1,0,1,0,0,1,0,0,0,1,20170919,40.8901905,-73.8614272,"Bronx County, NY",40.7201963,-74.0076374,"New York County, NY","LINESTRING(-73.8614272 40.8901905, -74.0076374 40.7201963)"
3231005,360610033002009,360470229003001,2,0,2,0,0,0,2,1,0,1,20170919,40.6857402,-73.9579872,"Kings County, NY",40.7170972,-74.0071031,"New York County, NY","LINESTRING(-73.9579872 40.6857402, -74.0071031 40.7170972)"
1940763,360470858001000,360470488001002,1,1,0,0,1,0,0,0,1,0,20170919,40.6417012,-73.9775594,"Kings County, NY",40.6505837,-73.9365678,"Kings County, NY","LINESTRING(-73.9775594 40.6417012, -73.9365678 40.6505837)"
6390003,361031122103007,361031591082017,1,0,1,0,1,0,0,0,1,0,20170919,40.8113367,-72.9742263,"Suffolk County, NY",40.78362,-73.3305599,"Suffolk County, NY","LINESTRING(-72.9742263 40.8113367, -73.3305599 40.78362)"
4678219,360610293001003,360050365021000,1,1,0,0,0,1,0,0,0,1,20170919,40.8426426,-73.8864276,"Bronx County, NY",40.8655662,-73.9190058,"New York County, NY","LINESTRING(-73.8864276 40.8426426, -73.9190058 40.8655662)"
2699075,360594105006008,360810437011002,1,0,1,0,0,1,0,0,1,0,20170919,40.7399934,-73.8515754,"Queens County, NY",40.6725415,-73.7075926,"Nassau County, NY","LINESTRING(-73.8515754 40.7399934, -73.7075926 40.6725415)"
1955944,360470930001000,360470838001002,1,0,1,0,0,0,1,0,0,1,20170919,40.6428971,-73.9357451,"Kings County, NY",40.651992,-73.914674,"Kings County, NY","LINESTRING(-73.9357451 40.6428971, -73.914674 40.651992)"
5390963,360810110001000,360811181002000,1,0,1,0,0,0,1,0,0,1,20170919,40.7603606,-73.7884033,"Queens County, NY",40.689043,-73.834886,"Queens County, NY","LINESTRING(-73.7884033 40.7603606, -73.834886 40.689043)"
4173672,360610113001004,360594052002012,1,0,1,0,0,0,1,0,1,0,20170919,40.7007111,-73.6958157,"Nassau County, NY",40.7550407,-73.9895338,"New York County, NY","LINESTRING(-73.6958157 40.7007111, -73.9895338 40.7550407)"
6578741,361031458041018,361031457014008,1,1,0,0,0,0,1,0,0,1,20170919,40.8121873,-73.2093623,"Suffolk County, NY",40.8036386,-73.1936619,"Suffolk County, NY","LINESTRING(-73.2093623 40.8121873, -73.1936619 40.8036386)"
3599579,360610076002005,360594137004009,1,0,1,0,0,0,1,0,0,1,20170919,40.640316,-73.6117225,"Nassau County, NY",40.7460213,-73.9875669,"New York County, NY","LINESTRING(-73.6117225 40.640316, -73.9875669 40.7460213)"
5482059,360810253013000,360050267026000,1,0,0,1,1,0,0,0,0,1,20170919,40.8714377,-73.8984643,"Bronx County, NY",40.7439511,-73.9171171,"Queens County, NY","LINESTRING(-73.8984643 40.8714377, -73.9171171 40.7439511)"
